Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Диаметр;Высота;Вес;Долговечность;Упаковка;"Срок годности"
"Букеты, Букеты/Ирисы, По случаю/Сказать люблю, По случаю/На свадьбу, По случаю/Свадьба, Композиции/Весенние, Кому/Любимой, Кому/Женщине, Кому/Невесте";"Морская гладь";4300.00;morskaya-glad;1;;;"средний (25-30см)";;;;"Морская гладь";"Синяя даль, Букеты, Ирисы";"ирис - 51 шт.   лента большая - 1шт.";"<p>ирис - 51 шт. <br /> лента большая - 1шт.</p>";;sinjaja-dal_500h600.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/День рождения, По случаю/Поздравление, По случаю/Сказать люблю, По случаю/Бизнес-поздравления, По случаю/8 марта, Композиции/Зимние, Стиль/Красный, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Учителю, Кому/Бабушке, Кому/Коллеге, Кому/Молодоженам, Кому/Сестре";"Пылающие чувства";5110.00;pylayuschie-chuvstva;1;;;"большой (35-50см)";;;;"Пылающие чувства";"Царская корона, Букеты, Розы";"лента - 1 шт.   лист аспидистры - 9шт.   роза 50 см - 31 шт.   рускус - 15 шт.";"<p>лента - 1 шт. <br /> лист аспидистры - 9шт. <br /> роза 50 см - 31 шт. <br /> рускус - 15 шт.</p>";;carskaja-korona_500h600.jpg;;;;;;
"Букеты, Букеты/Тюльпаны, По случаю/14 февраля, По случаю/8 марта, Композиции/Весенние, Стиль/Нежный, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Деловому партнеру, Кому/Учителю, Кому/Бабушке, Кому/Коллеге, Кому/Сестре";Изысканность;1680.00;izyskannost;1;;;"Малый 15-20 см";;;;Изысканность;"Ты у меня одна…, Букеты";;;;ty-u-menja-odna_s_1.jpg;;;;;;
"Букеты, Букеты/Тюльпаны, По случаю/14 февраля, По случаю/8 марта, Композиции/Весенние, Стиль/Нежный, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Деловому партнеру, Кому/Учителю, Кому/Бабушке, Кому/Коллеге, Кому/Сестре";Изысканность;3270.00;izyskannost;1;;;"Средний 25-30 см";;;;Изысканность;"Ты у меня одна…, Букеты";;;;ty-u-menja-odna_s_1.jpg;;;;;;
"Букеты, Букеты/Тюльпаны, По случаю/14 февраля, По случаю/8 марта, Композиции/Весенние, Стиль/Нежный, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Деловому партнеру, Кому/Учителю, Кому/Бабушке, Кому/Коллеге, Кому/Сестре";Изысканность;4970.00;izyskannost;1;;;"Большой 35-40 см";;;;Изысканность;"Ты у меня одна…, Букеты";;;;ty-u-menja-odna_s_1.jpg;;;;;;
"Композиции, Композиции/Настольные, Букеты/Тюльпаны, По случаю/День рождения, По случаю/Поздравление, По случаю/Сказать люблю, По случаю/Проф. праздник, По случаю/14 февраля, По случаю/8 марта, Композиции/Корзины с цветами, Композиции/Цветы в корзинах, Композиции/Весенние, Стиль/Красный, Стиль/Яркий, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Учителю, Кому/Коллеге";Салют;2110.00;salyut;1;;;"малый (15-20см)";;;;Салют;"Красный мускат, Композиции, Настольные, Тюльпаны";"декор - 2 шт.   корзина малая - 1 шт.   лента - 1 шт.   тюльпан - 19 шт.";"<p>декор - 2 шт. <br /> корзина малая - 1 шт. <br /> лента - 1 шт. <br /> тюльпан - 19 шт.</p>";;krasnyj-muskat_500h600.jpg;;;;;;
"Букеты, Букеты/Лилии, Букеты/Розы, По случаю/День рождения, По случаю/Поздравление, По случаю/Бизнес-поздравления, По случаю/14 февраля, По случаю/8 марта, Стиль/Нежный, Композиции/Весенние, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Деловому партнеру, Кому/Учителю, Кому/Подруге";"Светлые чувства";3330.00;svetlye-chuvstva;1;;;"средний (25-30см)";;;;"Светлые чувства";"Агата, Букеты, Лилии, Розы";"гипсофила - 2 шт.   лента - 1шт.   лилия ветка - 2шт.   роза 60 см - 6 шт.   роза 50 см - 3шт.   рускус - 10 шт.";"<p>гипсофила - 2 шт. <br /> лента - 1шт. <br /> лилия ветка - 2шт. <br /> роза 60 см - 6 шт. <br /> роза 50 см - 3шт. <br /> рускус - 10 шт.</p>";;lada_bz500h600.jpg;;;;;;
"Букеты, Букеты/Ирисы, По случаю/День рождения, По случаю/Поздравление, По случаю/Благодарность, По случаю/14 февраля, По случаю/8 марта, Композиции/Авторские букеты, Композиции/Летние, Композиции/Весенние, Стиль/Фиолетовый, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Учителю, Кому/Бабушке, Кому/Коллеге";Оазис;1350.00;oazis;1;;;"малый (15-20см)";;;;Оазис;"Летние сумерки, Букеты, Ирисы";"бабочка - 1 шт.   берграсс - 1 шт.   декор бусины - 15 шт.   ирис - 3 шт.   лента - 1шт.   лист аспидистры - 3 шт.   органза - 1 шт.   рускус - 4 шт.   тинги - 3 шт.";"<p>бабочка - 1 шт. <br /> берграсс - 1 шт. <br /> декор бусины - 15 шт. <br /> ирис - 3 шт. <br /> лента - 1шт. <br /> лист аспидистры - 3 шт. <br /> органза - 1 шт. <br /> рускус - 4 шт. <br /> тинги - 3 шт.</p>";;letnie-sumerki_500h600.jpg;;;;;;
"Букеты, Букеты/Лилии, По случаю/День рождения, По случаю/Поздравление, По случаю/На свадьбу, По случаю/Рождение ребёнка, По случаю/14 февраля, По случаю/8 марта, Композиции/Весенние, Стиль/Нежный, Кому/Женщине, Кому/Любимой, Кому/Деловому партнеру, Кому/Учителю, Кому/Бабушке, Кому/Молодоженам, Кому/Подруге, Кому/Сестре";"Царская лилия";1840.00;tsarskaya-liliya;1;;;"средний (25-30см)";;;;"Царская лилия";"Свет звезды, Букеты, Лилии";"лилия ветка - 5 шт.   лента - 1 шт.";"<p>лилия ветка - 5 шт. <br /> лента - 1 шт.</p>";;svet-zvezdy_500h600.jpg;;;;;;
"Композиции, Композиции/Настольные, Букеты, Букеты/Герберы , Букеты/Розы, По случаю/День рождения, По случаю/Поздравление, По случаю/Бизнес-поздравления, По случаю/8 марта, По случаю/Проф. праздник, Композиции/Корзины с цветами, Композиции/Цветы в корзинах, Стиль/Яркий, Кому/Женщине, Кому/Маме, Кому/Бабушке, Кому/Дедушке, Кому/Учителю, Кому/Коллеге";"Дары осени";3260.00;dary-oseni;1;;;"малый (15-20см)";;;;"Дары осени";"Осенняя соната, Композиции, Настольные, Букеты, Герберы , Розы, День рождения, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю, По случаю";"гербера - 3 шт.   гиперикум - 4шт.   корзина средняя - 1 шт.   пиафлор малый - 1 шт.   роза кустовая - 5 шт.   рускус - 5 шт.   цикламен (горшечное) - 1 шт.";"<p>гербера - 3 шт. <br /> гиперикум - 4шт. <br /> корзина средняя - 1 шт. <br /> пиафлор малый - 1 шт. <br /> роза кустовая - 5 шт. <br /> рускус - 5 шт. <br /> цикламен (горшечное) - 1 шт.</p>";;osennjaja-sonata_500h600.jpg;;;;;;
