Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Диаметр;Высота;Вес;Долговечность;Упаковка;"Срок годности"
"По случаю/Свадьба, Букеты/Розы, По случаю/На свадьбу, Композиции/Корзины с цветами, Композиции/Цветы в корзинах, Стиль/Нежный, Кому/Невесте, Кому/Молодоженам";"Лепестки роз";890.00;lepestki-roz;1;;;"Малый (15-20см)";;;;"Лепестки роз";"Свадебные лепестки, Свадьба";"корзина средняя - 1 шт.  лепестки - 1 уп.  лента -1 шт.";"<p>корзина средняя - 1 шт.<br /> лепестки - 1 уп.<br /> лента -1 шт.</p>";;svadebnye-lepestki_b.jpg;;;;;;
"По случаю/Свадьба, Букеты/Розы, Букеты/Хризантемы, По случаю/На свадьбу, Композиции/Авторские букеты, Стиль/Белый, Стиль/Оранжевый, Стиль/Разноцветный, Кому/Семье, Кому/Молодоженам";"Любовный дуэт";1820.00;lyubovnyj-duet;1;;;"Малый (15-20см)";;;;"Любовный дуэт";"Плесните колдовства…, Свадьба";"бокал - 2 шт. роза кустовая - 2 шт. хризантема кустовая - 1 шт. берграсс - 1 шт. декор - 1 шт. лента - 1 шт.";"<p>бокал - 2 шт.<br />роза кустовая - 2 шт.<br />хризантема кустовая - 1 шт.<br />берграсс - 1 шт.<br />декор - 1 шт.<br />лента - 1 шт.</p>";;plesnite-koldovstva_b.jpg;;;;;;
"Букеты, Букеты/Тюльпаны, Стиль/Желтый, По случаю/День рождения, По случаю/Поздравление, По случаю/8 марта, По случаю/Благодарность, Композиции/Летние, Композиции/Весенние, Кому/Женщине, Кому/Семье, Кому/Любимой, Кому/Бабушке, Кому/Учителю, Кому/Мужчине";"Весенний вечер";1840.00;vesennij-vecher;1;1;;"Малый 15-20 см";;;;"Весенний вечер";"Счастье есть!, Букеты";;;;schaste-est_b1_1.jpg;;;;;;
"Букеты, Букеты/Тюльпаны, Стиль/Желтый, По случаю/День рождения, По случаю/Поздравление, По случаю/8 марта, По случаю/Благодарность, Композиции/Летние, Композиции/Весенние, Кому/Женщине, Кому/Семье, Кому/Любимой, Кому/Бабушке, Кому/Учителю, Кому/Мужчине";"Весенний вечер";3680.00;vesennij-vecher;1;1;;"Средний 25-30 см";;;;"Весенний вечер";"Счастье есть!, Букеты";;;;schaste-est_b1_1.jpg;;;;;;
"Букеты, Букеты/Тюльпаны, Стиль/Желтый, По случаю/День рождения, По случаю/Поздравление, По случаю/8 марта, По случаю/Благодарность, Композиции/Летние, Композиции/Весенние, Кому/Женщине, Кому/Семье, Кому/Любимой, Кому/Бабушке, Кому/Учителю, Кому/Мужчине";"Весенний вечер";7230.00;vesennij-vecher;1;1;;"Большой 35-40 см";;;;"Весенний вечер";"Счастье есть!, Букеты";;;;schaste-est_b1_1.jpg;;;;;;
"По случаю/Свадьба, Букеты, Букеты/Хризантемы, По случаю/На свадьбу, Композиции/Авторские букеты, Стиль/Белый, Стиль/Нежный, Стиль/Розовый, Кому/Семье, Кому/Молодоженам";"Нежные нотки";2170.00;nezhnye-notki;1;;;"Малый (15-20см)";;;;"Нежные нотки";"Твой наряд подвенечный, Свадьба, Букеты";"берграсс - 1 шт. ваза на ножке - 1 шт. гипсофила - 2 шт. лента - 3 шт. пиафлор малый - 1 шт. поддон - 1 шт. рускус - 3 шт. трахелиум - 1 шт. хризантема кустовая - 1 шт. эустома (лизиантус)- 2 шт.";"<p>берграсс - 1 шт.<br />ваза на ножке - 1 шт.<br />гипсофила - 2 шт.<br />лента - 3 шт.<br />пиафлор малый - 1 шт.<br />поддон - 1 шт.<br />рускус - 3 шт.<br />трахелиум - 1 шт.<br />хризантема кустовая - 1 шт.<br />эустома (лизиантус)- 2 шт.</p>";;tvoj-narjad-podvenechnyj_b.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/Поздравление, По случаю/На свадьбу, По случаю/Проф. праздник, По случаю/Благодарность, Композиции/Осенние, Композиции/Зимние, Композиции/Авторские букеты, Стиль/Разноцветный, Кому/Любимой, Кому/Бабушке, Кому/Семье, Кому/Женщине";"Цветочная поляна";8270.00;tsvetochnaya-polyana;0;;;"Букет средний (30-35см)";;;;"Цветочная поляна";"Весеннее настроение, Букеты";"амариллис - 3 шт. брассика - 2 шт. гиперикум - 8 шт. лента - 2 шт. роза кустовая - 6 шт. тласпия - 4 шт. фисташки зелень - 12 шт. эустома (лизиантус) - 8 шт. озотамнус - 7 шт. эвкалипт мини - 8 шт. шамелациум - 5 шт. протея - 1 шт.";"<p>амариллис - 3 шт.<br />брассика - 2 шт.<br />гиперикум - 8 шт.<br />лента - 2 шт.<br />роза кустовая - 6 шт.<br />тласпия - 4 шт.<br />фисташки зелень - 12 шт.<br />эустома (лизиантус) - 8 шт.<br />озотамнус - 7 шт.<br />эвкалипт мини - 8 шт.<br />шамелациум - 5 шт.<br />протея - 1 шт.</p>";;vesennee-nastroenie_bz.jpg;;;;;;
"По случаю/Свадьба, Букеты/Каллы, Букеты, По случаю/Поздравление, По случаю/На свадьбу, По случаю/Сказать люблю, Композиции/Летние, Стиль/Белый, Стиль/Нежный, Кому/Женщине, Кому/Любимой, Кому/Учителю, Кому/Жене";Иностранка;6860.00;inostranka;0;;;"Букет средний (25-30см)";;;;Иностранка;"Бомонд, Свадьба";"калла - 35 шт. лента - 1 шт. бутоньерка - 1 шт.";"<p>калла - 35 шт.<br />лента - 1 шт.<br />бутоньерка - 1 шт.</p>";;bomond_b.jpg;;;;;;
"Букеты, Букеты/Хризантемы, По случаю/Поздравление, По случаю/Проф. праздник, По случаю/Бизнес-поздравления, Композиции/Осенние, Стиль/Белый, Стиль/Желтый, Кому/Мужчине, Кому/Деловому партнеру, Кому/Семье, Кому/Женщине";"Солнечное настроение";18450.00;solnechnoe-nastroenie;0;;;;;;;"Солнечное настроение";"Именинный пирог, Букеты";"ведро - 1 шт. декор - 1 шт. каркас - 2 шт. хризантема кустовая - 150 шт.";"<p>ведро - 1 шт.<br />декор - 1 шт.<br />каркас - 2 шт.<br />хризантема кустовая - 150 шт.</p>";;imeninnyj-pirog_b.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/Поздравление, По случаю/Сказать люблю, По случаю/День рождения, Композиции/Сердца из цветов, Композиции/Цветочные сердца, Стиль/Красный, Стиль/Желтый, Стиль/Яркий, Кому/Женщине, Кому/Любимой, Кому/Жене";"С любовью";13690.00;s-lyubovyu;0;;;"Большой (35-50 см)";;;;"С любовью";"Красота сердца, Букеты, Розы";"декор - 2 шт. каркас - 1 шт. лента большая - 1 шт. роза 60 см - 83 шт.";"<p>декор - 2 шт.<br />каркас - 1 шт.<br />лента большая - 1 шт.<br />роза 60 см - 83 шт.</p>";;krasota--serdca_b.jpg;;;;;;
"По случаю/Свадьба, Букеты, Букеты/Альстромерии, Букеты/Герберы , Букеты/Розы, По случаю/День рождения, По случаю/Поздравление, По случаю/На свадьбу, Кому/Любимой, Стиль/Белый, Композиции/Новогодние букеты, Стиль/Желтый, Кому/Женщине, Кому/Жене";"Легкий бриз";6350.00;legkij-briz;0;;;"Большой (35-50см)";;;;"Легкий бриз";"Влада, Свадьба";"альстромерия - 3 шт. антуриум - 3 шт. аспарагус Мейера - 4 шт. гербера - 7 шт. гипсофила - 3 шт. лента большая - 1 шт. лилиграсс - 5 шт. лист аспидистры - 10 шт. лист корал ферн - 7 шт. пиафлор большой - 1 шт. поддон - 1 шт. роза 60 см - 9 шт.";"<p>альстромерия - 3 шт.<br />антуриум - 3 шт.<br />аспарагус Мейера - 4 шт.<br />гербера - 7 шт.<br />гипсофила - 3 шт.<br />лента большая - 1 шт.<br />лилиграсс - 5 шт.<br />лист аспидистры - 10 шт.<br />лист корал ферн - 7 шт.<br />пиафлор большой - 1 шт.<br />поддон - 1 шт.<br />роза 60 см - 9 шт.</p>";;vlada_b.jpg;;;;;;
"По случаю/Свадьба, Букеты, Букеты/Розы, По случаю/На свадьбу, Композиции/Авторские букеты, Стиль/Нежный, Кому/Молодоженам";"Романтический вечер";2580.00;romanticheskij-vecher;1;;;"Малый (15-20см)";;;;"Романтический вечер";"Свечи единства, Свадьба";"альстромерия - 1 шт. берграсс - 1 шт. ваза - 1 шт. гипсофила - 1 шт. декор бусины - 1 шт. лента - 1 шт. пиафлор малый - 1 шт. роза Талея - 3 шт. рускус - 1 шт. свеча - 2 шт. фрезия - 3 шт.";"<p>альстромерия - 1 шт.<br />берграсс - 1 шт.<br />ваза - 1 шт.<br />гипсофила - 1 шт.<br />декор бусины - 1 шт.<br />лента - 1 шт.<br />пиафлор малый - 1 шт.<br />роза Талея - 3 шт.<br />рускус - 1 шт.<br />свеча - 2 шт.<br />фрезия - 3 шт.</p>";;svechi-edinstva_b.jpg;;;;;;
"По случаю/Свадьба, Букеты, Букеты/Розы, Букеты/Хризантемы, По случаю/Поздравление, Композиции/Авторские букеты, Стиль/Белый, Стиль/Разноцветный, Стиль/Нежный, Кому/Молодоженам";"Летняя акварель";5550.00;letnyaya-akvarel;0;;;"Большой (35-50см)";;;;"Летняя акварель";"Сочный розовый, Свадьба";"берграсс - 1 шт. гиацинт - 1 шт. гипсофила - 5 шт. лента большая - 1 шт. лист аспидистры - 5 шт. пиафлор большой - 1 шт. поддон - 1 шт. роза 60 см - 7 шт. роза кустовая - 5 шт. рускус - 7 шт. хризантема кустовая - 7 шт. эустома (лизиантус) - 7 шт.";"<p>берграсс - 1 шт.<br />гиацинт - 1 шт.<br />гипсофила - 5 шт.<br />лента большая - 1 шт.<br />лист аспидистры - 5 шт.<br />пиафлор большой - 1 шт.<br />поддон - 1 шт.<br />роза 60 см - 7 шт.<br />роза кустовая - 5 шт.<br />рускус - 7 шт.<br />хризантема кустовая - 7 шт.<br />эустома (лизиантус) - 7 шт.</p>";;sochnyj-rozovyj_b.jpg;;;;;;
"Букеты, Букеты/Альстромерии, По случаю/Поздравление, По случаю/Сказать люблю, По случаю/День рождения, Композиции/Летние, Композиции/Весенние, Стиль/Разноцветный, Стиль/Фиолетовый, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Семье";Фантазия;11470.00;fantaziya;0;;;"Букет средний (30-35 см)";;;;Фантазия;"Лабиринт, Букеты";"альстромерия - 10 шт. гиперикум - 10 шт. лента - 2 шт. сизаль - 2 шт. статица - 5 шт. фисташки зелень - 15 шт. фрезия - 10 шт. эустома (лизиантус) - 10 шт. ежевика - 3 шт. бувардия - 10 шт. калина черная - 6 шт. артишок - 2 шт.";"<p>альстромерия - 10 шт.<br />гиперикум - 10 шт.<br />лента - 2 шт.<br />сизаль - 2 шт.<br />статица - 5 шт.<br />фисташки зелень - 15 шт.<br />фрезия - 10 шт.<br />эустома (лизиантус) - 10 шт.<br />ежевика - 3 шт.<br />бувардия - 10 шт.<br />калина черная - 6 шт.<br />артишок - 2 шт.</p>";;labirint_bz.jpg;;;;;;
"По случаю/На свадьбу, Букеты, Букеты/Тюльпаны, Композиции/Сердца из цветов, Композиции/Цветочные сердца, По случаю/Сказать люблю, Стиль/Белый, Стиль/Нежный, Кому/Любимой, Кому/Молодоженам";"Искренние чувства";4920.00;iskrennie-chuvstva;1;;;"Большой (35-50см)";;;;"Искренние чувства";"Дела сердечные, Свадьба";"аспарагус плюмозус - 1 шт. бабочка - 1 шт. гиперикум - 2 шт. гипсофила - 15 шт. пиафлор сердце - 1 шт. тюльпан -8 шт.";"<p>аспарагус плюмозус - 1 шт.<br />бабочка - 1 шт.<br />гиперикум - 2 шт.<br />гипсофила - 15 шт.<br />пиафлор сердце - 1 шт.<br />тюльпан -8 шт.</p>";;dela-serdechnye_b.jpg;;;;;;
"Букеты, По случаю/Свадьба, Букеты/Альстромерии, Букеты/Хризантемы, Букеты/Герберы , По случаю/Сказать люблю, По случаю/Поздравление, По случаю/На свадьбу, Композиции/Авторские букеты, Стиль/Белый, Стиль/Желтый, Стиль/Нежный, Кому/Любимой, Кому/Женщине";Каприз;2460.00;kapriz;1;;;"Малый (15-20см)";;;;Каприз;"Золотая вуаль, Букеты";"альстромерия - 2 шт. берграсс - 1 шт. ваза на ножке - 1 шт. гербера - 3 шт. гипсофила - 1 шт. декор - 1 шт. краспедия - 3 шт. лист корал ферн - 1 шт. пиафлор малый - 1 шт. поддон - 1 шт. рускус - 3 шт. хризантема кустовая - 1 шт.";"<p>альстромерия - 2 шт.<br />берграсс - 1 шт.<br />ваза на ножке - 1 шт.<br />гербера - 3 шт.<br />гипсофила - 1 шт.<br />декор - 1 шт.<br />краспедия - 3 шт.<br />лист корал ферн - 1 шт.<br />пиафлор малый - 1 шт.<br />поддон - 1 шт.<br />рускус - 3 шт.<br />хризантема кустовая - 1 шт.</p>";;zolotaja-vual_b.jpg;;;;;;
"По случаю/На свадьбу, Букеты, Букеты/Альстромерии, Букеты/Орхидеи, По случаю/Поздравление, По случаю/Сказать люблю, По случаю/Извинение, Композиции/Авторские букеты, Композиции/Весенние, Стиль/Белый, Стиль/Нежный, Стиль/Фиолетовый, Кому/Любимой, Кому/Женщине, Кому/Невесте";"Ночное небо";4400.00;nochnoe-nebo;1;;;"Букет малый (15-20см)";;;;"Ночное небо";"Весенняя скромница, На свадьбу";"агапантус - 5 шт. альстромерия - 3 шт. берграсс - 1 шт. вероника вайт - 3 шт. гипсофила - 2 шт. лента - 4 шт. орхидея - 3 шт. портбукетница - 1 шт. рускус - 4 шт. фрезия - 5 шт. эустома (лизиантус) - 8 шт.";"<p>агапантус - 5 шт.<br />альстромерия - 3 шт.<br />берграсс - 1 шт.<br />вероника вайт - 3 шт.<br />гипсофила - 2 шт.<br />лента - 4 шт.<br />орхидея - 3 шт.<br />портбукетница - 1 шт.<br />рускус - 4 шт.<br />фрезия - 5 шт.<br />эустома (лизиантус) - 8 шт.</p>";;vesennjaja-skromnica_b.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/Поздравление, По случаю/Сказать люблю, По случаю/На свадьбу, Композиции/Сердца из цветов, Композиции/Цветочные сердца, Стиль/Красный, Стиль/Белый, Кому/Женщине, Кому/Любимой, Кому/Молодоженам";"Вместе навсегда";31480.00;vmeste-navsegda;0;;;"Большой (70-80см)";;;;"Вместе навсегда";"Всегда вместе, Букеты";"декор - 1 шт. каркас - 2 шт. лента - 1 шт. роза 60 см - 201 шт. рускус - 17 шт.";"<p>декор - 1 шт.<br />каркас - 2 шт.<br />лента - 1 шт.<br />роза 60 см - 201 шт.<br />рускус - 17 шт.</p>";;vsegda-vmeste_b.jpg;;;;;;
"Букеты, Букеты/Альстромерии, Букеты/Герберы , По случаю/Поздравление, По случаю/Благодарность, По случаю/День рождения, По случаю/Проф. праздник, Композиции/Весенние, Композиции/Летние, Стиль/Разноцветный, Кому/Женщине, Кому/Маме, Кому/Бабушке, Кому/Мужчине, Кому/Жене, Кому/Семье";"Краски весны";7740.00;kraski-vesny;0;;;"Букет средний (30-35см)";;;;"Краски весны";"Аромат апреля, Букеты";"альстромерия - 8 шт. гербера - 7 шт. лента - 1 шт. статица - 10 шт. фисташки зелень - 11 шт. фрезия - 11 шт. эустома (лизиантус) - 6 шт. астильба - 3 шт. ежевика - 3 шт. калина черная - 4 шт.";"<p>альстромерия - 8 шт.<br />гербера - 7 шт.<br />лента - 1 шт.<br />статица - 10 шт.<br />фисташки зелень - 11 шт.<br />фрезия - 11 шт.<br />эустома (лизиантус) - 6 шт.<br />астильба - 3 шт.<br />ежевика - 3 шт.<br />калина черная - 4 шт.</p>";;aromat-aprelja_bz.jpg;;;;;;
"По случаю/На свадьбу, Букеты, Букеты/Хризантемы, Букеты/Лилии, Букеты/Розы, По случаю/День рождения, По случаю/Поздравление, По случаю/Сказать люблю, По случаю/Извинение, Композиции/Авторские букеты, Стиль/Белый, Стиль/Нежный, Кому/Женщине, Кому/Любимой, Кому/Молодоженам";"Белый лебедь";8210.00;belyj-lebed;0;;;"Большой (35-50см)";;;;"Белый лебедь";"Звезда Парижа, На свадьбу";"амбрелла - 10 шт. гвоздика кустовая - 13 шт. декор - 1 шт. лилия ветка - 5 шт. лист аспидистры - 25 шт. пиафлор большой - 1 шт. поддон - 1 шт. роза 60 см - 15 шт. стилграсс - 1 шт.";"<p>амбрелла - 10 шт.<br />гвоздика кустовая - 13 шт.<br />декор - 1 шт.<br />лилия ветка - 5 шт.<br />лист аспидистры - 25 шт.<br />пиафлор большой - 1 шт.<br />поддон - 1 шт.<br />роза 60 см - 15 шт.<br />стилграсс - 1 шт.</p>";;zvezda-parizha_b.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/День рождения, По случаю/Поздравление, По случаю/Бизнес-поздравления, По случаю/Для новорожденного, Композиции/Авторские букеты, Стиль/Белый, Стиль/Розовый, Стиль/Красный, Стиль/Желтый, Кому/Любимой, Кому/Семье, Кому/Ребёнку, Кому/Жене";"Первая бабочка";32400.00;pervaya-babochka;0;;;"Большой (70-80см)";;;;"Первая бабочка";"Бабочка, Букеты";"декор - 1 шт. каркас - 2 шт. роза 60 см - 215 шт.";"<p>декор - 1 шт.<br />каркас - 2 шт.<br />роза 60 см - 215 шт.</p>";;babochka_b.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/Поздравление, По случаю/Сказать люблю, По случаю/Извинение, По случаю/На свадьбу, Композиции/Сердца из цветов, Композиции/Цветочные сердца, Стиль/Белый, Стиль/Красный, Кому/Любимой, Кому/Молодоженам";"От всего сердца";26490.00;ot-vsego-serdtsa;0;;;"Большой (70-80см)";;;;"От всего сердца";"Жар сердца, Букеты";"каркас - 1 шт. лента - 1 шт. роза 60 см - 175 шт.";"<p>каркас - 1 шт.<br />лента - 1 шт.<br />роза 60 см - 175 шт.</p>";;zhar-serdca_b.jpg;;;;;;
"По случаю/Свадьба, Букеты, Букеты/Орхидеи, Букеты/Хризантемы, По случаю/Поздравление, По случаю/На свадьбу, Композиции/Авторские букеты, Композиции/Летние, Стиль/Белый, Кому/Ребёнку, Кому/Молодоженам";"Заряд эмоций";17240.00;zaryad-emotsij;0;;;"Большой (50-60см)";;;;"Заряд эмоций";"Крокембуш, Свадьба";"декор - 3 шт. орхидея - 14 шт. пиафлор - 17 шт. хризантема кустовая - 85 шт. фрукты (набор) - 1 шт. фигурка декоративная - 2 шт. поддон большой - 1 шт.";"<p>декор - 3 шт.<br />орхидея - 14 шт.<br />пиафлор - 17 шт.<br />хризантема кустовая - 85 шт.<br />фрукты (набор) - 1 шт.<br />фигурка декоративная - 2 шт.<br />поддон большой - 1 шт.</p>";;krokembush_b.jpg;;;;;;
"Букеты/Розы, Букеты, По случаю/Поздравление, По случаю/На свадьбу, Композиции/Авторские букеты, Стиль/Белый, Стиль/Красный, Кому/Молодоженам";"Радостный миг";2830.00;radostnyj-mig;1;;;"Большой (35-50см)";;;;"Радостный миг";"Вечность бытия, Розы";"аспарагус умбеллатус - 2 шт. берграсс - 2 шт. гиперикум - 3 шт. гипсофила - 1 шт. лента - 1 шт. пиафлор большой - 1 шт. роза 50 см - 9 шт. салал - 7 шт. хризантема кустовая - 3 шт.";"<p>аспарагус умбеллатус - 2 шт.<br />берграсс - 2 шт.<br />гиперикум - 3 шт.<br />гипсофила - 1 шт.<br />лента - 1 шт.<br />пиафлор большой - 1 шт.<br />роза 50 см - 9 шт.<br />салал - 7 шт.<br />хризантема кустовая - 3 шт.</p>";;vechnost-bytija_b.jpg;;;;;;
"Букеты, Букеты/Орхидеи, По случаю/Сказать люблю, По случаю/На свадьбу, По случаю/Поздравление, Композиции/Сердца из цветов, Композиции/Цветочные сердца, Стиль/Белый, Стиль/Нежный, Кому/Любимой, Кому/Жене, По случаю/Извинение, Кому/Молодоженам";"Нежное признание";4730.00;nezhnoe-priznanie;1;;;"Большой (35-50см)";;;;"Нежное признание";"Моя родная, Букеты";"аспарагус плюмозус - 1 шт. гипсофила - 15 шт. декор - 2 шт. орхидея - 2 шт. пиафлор сердце - 1 шт. солидаго - 1 шт.";"<p>аспарагус плюмозус - 1 шт.<br />гипсофила - 15 шт.<br />декор - 2 шт.<br />орхидея - 2 шт.<br />пиафлор сердце - 1 шт.<br />солидаго - 1 шт.</p>";;moja-rodnaja_b.jpg;;;;;;
"По случаю/На свадьбу, Букеты, Букеты/Розы, Букеты/Хризантемы, Композиции/Летние, Композиции/Осенние, Стиль/Белый, Кому/Любимой, Кому/Женщине";Очарование;1740.00;ocharovanie;1;1;;"Букет малый (15-20 см)";;;;Очарование;"Поцелуй Герды, На свадьбу";"бутоньерка - 1 шт. гипсофила - 1 шт. лента - 1 шт. портбукетница - 1 шт. роза 60 см -5 шт. рускус - 3 шт. хризантема кустовая -3 шт.";"<p>бутоньерка - 1 шт.<br />гипсофила - 1 шт.<br />лента - 1 шт.<br />портбукетница - 1 шт.<br />роза 60 см -5 шт.<br />рускус - 3 шт.<br />хризантема кустовая -3 шт.</p>";;poceluj-gerdy_b.jpg;;;;;;
"По случаю/На свадьбу, По случаю/Свадьба, Букеты/Гвоздики, Букеты/Розы, Букеты/Лилии, По случаю/Поздравление, По случаю/День рождения, По случаю/Бизнес-поздравления, Композиции/Весенние, Стиль/Белый, Стиль/Нежный, Кому/Женщине, Кому/Любимой, Кому/Жене, Кому/Молодоженам";Грация;3540.00;gratsiya;1;;;"Букет малый (15-20 см)";;;;Грация;"Сонет Шекспира, Букеты";"амбрелла - 1 шт. берграсс - 1 шт. ваза - 1 шт. гвоздика кустовая - 3 шт. гипсофила - 1 шт. декор - 3 шт. лента - 1 шт. лилия ветка - 2 шт. пиафлор малый - 1 шт. поддон - 1 шт. роза 60 см - 3 шт. рускус - 3 шт.";"<p>амбрелла - 1 шт.<br />берграсс - 1 шт.<br />ваза - 1 шт.<br />гвоздика кустовая - 3 шт.<br />гипсофила - 1 шт.<br />декор - 3 шт.<br />лента - 1 шт.<br />лилия ветка - 2 шт.<br />пиафлор малый - 1 шт.<br />поддон - 1 шт.<br />роза 60 см - 3 шт.<br />рускус - 3 шт.</p>";;sonet-shekspira_b.jpg;;;;;;
"Букеты, По случаю, По случаю/На свадьбу, Букеты/Альстромерии, Букеты/Розы, По случаю/Сказать люблю, Композиции/Авторские букеты, Стиль/Белый, Стиль/Нежный, Кому/Любимой, Кому/Молодоженам, Кому/Жене";Мечта;2480.00;mechta;1;;;"Букет малый (15-20см)";;;;Мечта;"Жаклин, Букеты";"альстромерия - 1 шт. амбрелла - 1 шт. берграсс - 1 шт. ваза на ножке - 1 шт. гипсофила - 1 шт. декор - 3 шт. лист аспидистры - 3 шт. пиафлор - 1 шт. поддон малый - 1 шт. роза 60 см - 3 шт. рускус - 3 шт.";"<p>альстромерия - 1 шт.<br />амбрелла - 1 шт.<br />берграсс - 1 шт.<br />ваза на ножке - 1 шт.<br />гипсофила - 1 шт.<br />декор - 3 шт.<br />лист аспидистры - 3 шт.<br />пиафлор - 1 шт.<br />поддон малый - 1 шт.<br />роза 60 см - 3 шт.<br />рускус - 3 шт.</p>";;zhaklin_b.jpg;;;;;;
"Букеты, По случаю/Сказать люблю, Букеты/Розы, По случаю, По случаю/На свадьбу, Композиции/Весенние, Композиции/Летние, Стиль/Нежный, Стиль/Розовый, Кому/Любимой, Кому/Женщине";"Жемчужина красоты";6090.00;zhemchuzhina-krasoty;0;;;"Букет малый (15-20 см)";;;;"Жемчужина красоты";"Роскошь королевы, Букеты";"бутоньерка - 1 шт. гипсофила - 3 шт. лента - 4 шт. портбукетница - 1 шт. роза 60 см - 35 шт. рускус - 3 шт.";"<p>бутоньерка - 1 шт.<br />гипсофила - 3 шт.<br />лента - 4 шт.<br />портбукетница - 1 шт.<br />роза 60 см - 35 шт.<br />рускус - 3 шт.</p>";;roskosh-korolevy-_b.jpg;;;;;;
"Букеты, По случаю/На свадьбу, Букеты/Розы, По случаю/Поздравление, По случаю/Сказать люблю, Композиции/Авторские букеты, Кому/Любимой, Кому/Женщине";Фейерверк;2770.00;fejerverk;1;;;"Букет малый (15-20 см)";;;;Фейерверк;"Фурор, Букеты";"аспарагус умбеллатус - 1 шт. берграсс - 1 шт. бутоньерка - 1 шт. гипсофила - 2 шт. декор - 1 шт. лента - 1 шт. портбукетница - 1 шт. роза 60 см - 11 шт. рускус - 3 шт.";"<p>аспарагус умбеллатус - 1 шт.<br />берграсс - 1 шт.<br />бутоньерка - 1 шт.<br />гипсофила - 2 шт.<br />декор - 1 шт.<br />лента - 1 шт.<br />портбукетница - 1 шт.<br />роза 60 см - 11 шт.<br />рускус - 3 шт.</p>";;furor_b.jpg;;;;;;
"Букеты, По случаю/Свадьба, Букеты/Розы, По случаю/На свадьбу, По случаю/Поздравление, Композиции/Авторские букеты, Стиль/Розовый, Стиль/Желтый, Кому/Любимой";Восторг;3400.00;vostorg;1;;;"Букет малый (15-20см)";;;;Восторг;"Ликование, Букеты";"берграсс - 1 шт. бутоньерка - 1 шт. гипсофила - 2 шт. лента - 4 шт. портбукетница - 1 шт. роза 60 см - 15 шт. рускус - 5 шт.";"<p>берграсс - 1 шт.<br />бутоньерка - 1 шт.<br />гипсофила - 2 шт.<br />лента - 4 шт.<br />портбукетница - 1 шт.<br />роза 60 см - 15 шт.<br />рускус - 5 шт.</p>";;likovanie_b.jpg;;;;;;
"Букеты, По случаю/На свадьбу, Букеты/Альстромерии, Букеты/Герберы , Букеты/Розы, Букеты/Лилии, Композиции/Авторские букеты, Кому/Любимой";"Цветочный взрыв";2950.00;tsvetochnyj-vzryv;1;;;"Букет малый (15-20см)";;;;"Цветочный взрыв";"Инфанта, Букеты";"альстромерия - 3 шт. берграсс - 1 шт. бутоньерка - 1 шт. гербера - 3 шт. гипсофила - 2 шт. лента - 1 шт. лилия ветка - 2 шт. портбукетница - 1 шт. роза кустовая - 3 шт. рускус - 5 шт.";"<p>альстромерия - 3 шт.<br />берграсс - 1 шт.<br />бутоньерка - 1 шт.<br />гербера - 3 шт.<br />гипсофила - 2 шт.<br />лента - 1 шт.<br />лилия ветка - 2 шт.<br />портбукетница - 1 шт.<br />роза кустовая - 3 шт.<br />рускус - 5 шт.</p>";;infanta_b.jpg;;;;;;
"Букеты, Букеты/Гвоздики, По случаю/Сказать люблю, По случаю/Извинение, Композиции/Сердца из цветов, Композиции/Цветочные сердца, Стиль/Красный, Кому/Любимой, Кому/Женщине, Кому/Жене";"Пламя любви";4930.00;plamya-lyubvi;1;;;"Букет средний (25-30 см)";;;;"Пламя любви";"Зарождение огня, Букеты";"гвоздика - 22 шт. каркас - 1 шт. конфеты Раффаэлло- 1 шт. лента - 1 шт. фетр - 1 шт. хризантема кустовая - 5 шт.";"<p>гвоздика - 22 шт.<br />каркас - 1 шт.<br />конфеты Раффаэлло- 1 шт.<br />лента - 1 шт.<br />фетр - 1 шт.<br />хризантема кустовая - 5 шт.</p>";;zarozhdenie-ognja_b.jpg;;;;;;
"Букеты, Букеты/Розы, Букеты/Альстромерии, По случаю/День рождения, По случаю/Поздравление, По случаю/Благодарность, Композиции/Осенние, Композиции/Весенние, Стиль/Разноцветный, Стиль/Красный, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Мужчине, Кому/Семье, Кому/Бабушке";"Краски лета";6100.00;kraski-leta;0;;;"Букет средний (30-35см)";;;;"Краски лета";"Бургундия, Букеты";"альстромерия - 5 шт. гербера - 7 шт. гиперикум - 10 шт. крафт-бумага - 2 шт. лента - 2 шт. роза 60 см - 7 шт. фисташки зелень - 11 шт. эустома (лизиантус) - 5 шт. ежевика - 4 шт.";"<p>альстромерия - 5 шт.<br />гербера - 7 шт.<br />гиперикум - 10 шт.<br />крафт-бумага - 2 шт.<br />лента - 2 шт.<br />роза 60 см - 7 шт.<br />фисташки зелень - 11 шт.<br />эустома (лизиантус) - 5 шт.<br />ежевика - 4 шт.</p>";;burgundija_bz.jpg;;;;;;
